,hdf5_file_name,kspace_shape,nslices,nslice_cumulative
37,file_brain_AXFLAIR_200_6002566.h5,"[12, 16, 640, 320]",12,454
38,file_brain_AXFLAIR_200_6002567.h5,"[10, 20, 640, 320]",10,464
39,file_brain_AXFLAIR_200_6002570.h5,"[12, 16, 640, 320]",12,476
40,file_brain_AXFLAIR_200_6002576.h5,"[12, 20, 640, 320]",12,488
41,file_brain_AXFLAIR_200_6002579.h5,"[12, 20, 640, 320]",12,500
42,file_brain_AXFLAIR_200_6002585.h5,"[12, 16, 640, 320]",12,512
43,file_brain_AXFLAIR_200_6002595.h5,"[12, 16, 640, 320]",12,524
44,file_brain_AXFLAIR_200_6002600.h5,"[12, 16, 640, 320]",12,536
45,file_brain_AXFLAIR_200_6002606.h5,"[12, 20, 640, 320]",12,548
46,file_brain_AXFLAIR_200_6002608.h5,"[12, 20, 640, 320]",12,560
47,file_brain_AXFLAIR_200_6002611.h5,"[12, 20, 640, 320]",12,572
48,file_brain_AXFLAIR_200_6002614.h5,"[12, 16, 640, 320]",12,584
49,file_brain_AXFLAIR_200_6002616.h5,"[12, 20, 640, 320]",12,596
50,file_brain_AXFLAIR_200_6002618.h5,"[12, 16, 640, 320]",12,608
51,file_brain_AXFLAIR_200_6002629.h5,"[12, 16, 640, 320]",12,620
52,file_brain_AXFLAIR_200_6002631.h5,"[12, 20, 640, 320]",12,632
53,file_brain_AXFLAIR_200_6002638.h5,"[12, 20, 640, 320]",12,644
54,file_brain_AXFLAIR_200_6002641.h5,"[12, 16, 640, 320]",12,656
55,file_brain_AXFLAIR_200_6002644.h5,"[12, 20, 640, 320]",12,668
56,file_brain_AXFLAIR_200_6002646.h5,"[12, 20, 640, 320]",12,680
57,file_brain_AXFLAIR_200_6002648.h5,"[12, 16, 640, 320]",12,692
58,file_brain_AXFLAIR_200_6002650.h5,"[12, 20, 640, 320]",12,704
59,file_brain_AXFLAIR_200_6002653.h5,"[12, 16, 640, 320]",12,716
60,file_brain_AXFLAIR_200_6002658.h5,"[12, 16, 640, 320]",12,728
61,file_brain_AXFLAIR_201_6002867.h5,"[12, 20, 640, 320]",12,740
62,file_brain_AXFLAIR_201_6002871.h5,"[12, 12, 640, 320]",12,752
63,file_brain_AXFLAIR_201_6002876.h5,"[12, 20, 640, 320]",12,764
64,file_brain_AXFLAIR_201_6002878.h5,"[12, 16, 640, 320]",12,776
65,file_brain_AXFLAIR_201_6002881.h5,"[12, 24, 640, 320]",12,788
66,file_brain_AXFLAIR_201_6002882.h5,"[12, 16, 640, 320]",12,800
67,file_brain_AXFLAIR_201_6002888.h5,"[12, 20, 640, 262]",12,812
68,file_brain_AXFLAIR_201_6002892.h5,"[12, 16, 640, 320]",12,824
69,file_brain_AXFLAIR_201_6002894.h5,"[12, 16, 640, 262]",12,836
70,file_brain_AXFLAIR_201_6002896.h5,"[12, 20, 640, 320]",12,848
71,file_brain_AXFLAIR_201_6002902.h5,"[10, 20, 640, 320]",10,858
72,file_brain_AXFLAIR_201_6002903.h5,"[12, 20, 640, 320]",12,870
73,file_brain_AXFLAIR_201_6002906.h5,"[12, 20, 640, 320]",12,882
74,file_brain_AXFLAIR_201_6002909.h5,"[10, 20, 640, 262]",10,892
75,file_brain_AXFLAIR_201_6002911.h5,"[12, 12, 640, 320]",12,904
76,file_brain_AXFLAIR_201_6002914.h5,"[12, 16, 640, 274]",12,916
77,file_brain_AXFLAIR_201_6002916.h5,"[12, 20, 640, 320]",12,928
78,file_brain_AXFLAIR_201_6002917.h5,"[12, 20, 640, 320]",12,940
79,file_brain_AXFLAIR_201_6002918.h5,"[12, 16, 640, 320]",12,952
80,file_brain_AXFLAIR_201_6002919.h5,"[12, 20, 640, 320]",12,964
81,file_brain_AXFLAIR_201_6002923.h5,"[12, 16, 640, 320]",12,976
82,file_brain_AXFLAIR_201_6002925.h5,"[12, 20, 640, 320]",12,988
83,file_brain_AXFLAIR_201_6002928.h5,"[12, 16, 640, 320]",12,1000
84,file_brain_AXFLAIR_201_6002929.h5,"[12, 16, 640, 320]",12,1012
85,file_brain_AXFLAIR_201_6002931.h5,"[12, 16, 640, 320]",12,1024
86,file_brain_AXFLAIR_201_6002933.h5,"[12, 16, 640, 262]",12,1036
87,file_brain_AXFLAIR_201_6002934.h5,"[12, 16, 640, 320]",12,1048
88,file_brain_AXFLAIR_201_6002938.h5,"[12, 16, 640, 320]",12,1060
89,file_brain_AXFLAIR_201_6002939.h5,"[12, 20, 640, 320]",12,1072
90,file_brain_AXFLAIR_201_6002940.h5,"[12, 16, 640, 320]",12,1084
91,file_brain_AXFLAIR_201_6002941.h5,"[12, 20, 640, 320]",12,1096
92,file_brain_AXFLAIR_201_6002944.h5,"[12, 16, 640, 320]",12,1108
93,file_brain_AXFLAIR_201_6002947.h5,"[10, 20, 640, 320]",10,1118
94,file_brain_AXFLAIR_201_6002950.h5,"[12, 20, 640, 320]",12,1130
95,file_brain_AXFLAIR_201_6002951.h5,"[10, 16, 640, 320]",10,1140
96,file_brain_AXFLAIR_201_6002953.h5,"[8, 20, 640, 320]",8,1148
97,file_brain_AXFLAIR_201_6002954.h5,"[12, 20, 640, 320]",12,1160
98,file_brain_AXFLAIR_201_6002956.h5,"[12, 20, 640, 298]",12,1172
99,file_brain_AXFLAIR_201_6002957.h5,"[12, 20, 640, 320]",12,1184
100,file_brain_AXFLAIR_201_6002960.h5,"[12, 16, 640, 320]",12,1196
101,file_brain_AXFLAIR_201_6002962.h5,"[10, 16, 640, 320]",10,1206
102,file_brain_AXFLAIR_201_6002963.h5,"[10, 20, 640, 320]",10,1216
103,file_brain_AXFLAIR_201_6002964.h5,"[12, 16, 640, 320]",12,1228
104,file_brain_AXFLAIR_201_6002971.h5,"[10, 20, 640, 320]",10,1238
105,file_brain_AXFLAIR_201_6002972.h5,"[12, 20, 640, 320]",12,1250
106,file_brain_AXFLAIR_201_6002973.h5,"[12, 20, 640, 320]",12,1262
107,file_brain_AXFLAIR_201_6002976.h5,"[12, 16, 640, 320]",12,1274
108,file_brain_AXFLAIR_201_6002977.h5,"[12, 20, 640, 320]",12,1286
109,file_brain_AXFLAIR_201_6002978.h5,"[12, 24, 640, 320]",12,1298
110,file_brain_AXFLAIR_201_6002980.h5,"[12, 12, 640, 262]",12,1310
111,file_brain_AXFLAIR_201_6002981.h5,"[12, 20, 640, 320]",12,1322
112,file_brain_AXFLAIR_201_6002987.h5,"[12, 16, 640, 320]",12,1334
113,file_brain_AXFLAIR_201_6002991.h5,"[12, 12, 640, 320]",12,1346
114,file_brain_AXFLAIR_201_6002992.h5,"[10, 20, 640, 320]",10,1356
115,file_brain_AXFLAIR_201_6002993.h5,"[12, 20, 640, 320]",12,1368
116,file_brain_AXFLAIR_201_6002994.h5,"[12, 20, 640, 320]",12,1380
117,file_brain_AXFLAIR_201_6002995.h5,"[12, 20, 640, 274]",12,1392
118,file_brain_AXFLAIR_201_6002996.h5,"[12, 20, 640, 320]",12,1404
119,file_brain_AXFLAIR_201_6002997.h5,"[12, 20, 640, 320]",12,1416
120,file_brain_AXFLAIR_201_6002998.h5,"[12, 20, 640, 320]",12,1428
121,file_brain_AXFLAIR_201_6003002.h5,"[12, 20, 640, 320]",12,1440
122,file_brain_AXFLAIR_201_6003003.h5,"[12, 20, 640, 274]",12,1452
123,file_brain_AXFLAIR_201_6003004.h5,"[12, 20, 640, 320]",12,1464
124,file_brain_AXFLAIR_201_6003005.h5,"[12, 20, 640, 320]",12,1476
125,file_brain_AXFLAIR_201_6003008.h5,"[12, 20, 640, 320]",12,1488
126,file_brain_AXFLAIR_201_6003009.h5,"[12, 16, 640, 320]",12,1500
127,file_brain_AXFLAIR_201_6003012.h5,"[12, 16, 640, 320]",12,1512
128,file_brain_AXFLAIR_201_6003016.h5,"[12, 12, 640, 320]",12,1524
129,file_brain_AXFLAIR_201_6003017.h5,"[12, 2, 640, 320]",12,1536
130,file_brain_AXFLAIR_201_6003018.h5,"[12, 16, 640, 320]",12,1548
131,file_brain_AXFLAIR_201_6003019.h5,"[12, 20, 640, 320]",12,1560
132,file_brain_AXFLAIR_201_6003023.h5,"[10, 16, 640, 320]",10,1570
133,file_brain_AXFLAIR_201_6003024.h5,"[12, 20, 640, 320]",12,1582
134,file_brain_AXFLAIR_201_6003026.h5,"[12, 20, 640, 320]",12,1594
135,file_brain_AXFLAIR_201_6003027.h5,"[8, 16, 640, 320]",8,1602
136,file_brain_AXFLAIR_201_6003028.h5,"[12, 20, 640, 320]",12,1614
137,file_brain_AXFLAIR_201_6003029.h5,"[12, 20, 640, 320]",12,1626
138,file_brain_AXFLAIR_202_6000421.h5,"[12, 16, 640, 312]",12,1638
139,file_brain_AXFLAIR_202_6000424.h5,"[12, 16, 640, 264]",12,1650
140,file_brain_AXFLAIR_202_6000425.h5,"[12, 16, 512, 320]",12,1662
141,file_brain_AXFLAIR_202_6000428.h5,"[12, 16, 640, 264]",12,1674
142,file_brain_AXFLAIR_202_6000431.h5,"[12, 16, 640, 264]",12,1686
143,file_brain_AXFLAIR_202_6000435.h5,"[12, 16, 512, 256]",12,1698
144,file_brain_AXFLAIR_202_6000436.h5,"[12, 20, 640, 264]",12,1710
145,file_brain_AXFLAIR_202_6000437.h5,"[12, 20, 640, 312]",12,1722
146,file_brain_AXFLAIR_202_6000440.h5,"[12, 16, 640, 264]",12,1734
147,file_brain_AXFLAIR_202_6000455.h5,"[12, 16, 640, 264]",12,1746
148,file_brain_AXFLAIR_202_6000456.h5,"[12, 24, 640, 264]",12,1758
149,file_brain_AXFLAIR_202_6000460.h5,"[12, 20, 512, 234]",12,1770
150,file_brain_AXFLAIR_202_6000464.h5,"[10, 20, 640, 264]",10,1780
151,file_brain_AXFLAIR_202_6000469.h5,"[12, 16, 640, 264]",12,1792
152,file_brain_AXFLAIR_202_6000472.h5,"[12, 20, 640, 264]",12,1804
153,file_brain_AXFLAIR_202_6000473.h5,"[12, 20, 512, 320]",12,1816
154,file_brain_AXFLAIR_202_6000474.h5,"[12, 20, 640, 264]",12,1828
155,file_brain_AXFLAIR_202_6000477.h5,"[12, 20, 640, 264]",12,1840
156,file_brain_AXFLAIR_202_6000480.h5,"[12, 16, 640, 264]",12,1852
157,file_brain_AXFLAIR_202_6000481.h5,"[12, 20, 640, 264]",12,1864
158,file_brain_AXFLAIR_202_6000483.h5,"[12, 16, 512, 214]",12,1876
159,file_brain_AXFLAIR_202_6000489.h5,"[12, 16, 640, 264]",12,1888
160,file_brain_AXFLAIR_202_6000492.h5,"[12, 16, 640, 264]",12,1900
161,file_brain_AXFLAIR_202_6000493.h5,"[12, 16, 640, 264]",12,1912
162,file_brain_AXFLAIR_202_6000496.h5,"[12, 16, 640, 264]",12,1924
163,file_brain_AXFLAIR_202_6000498.h5,"[12, 18, 640, 264]",12,1936
164,file_brain_AXFLAIR_202_6000502.h5,"[12, 20, 512, 234]",12,1948
165,file_brain_AXFLAIR_202_6000507.h5,"[12, 16, 640, 264]",12,1960
166,file_brain_AXFLAIR_202_6000508.h5,"[12, 16, 640, 264]",12,1972
167,file_brain_AXFLAIR_202_6000511.h5,"[12, 16, 640, 264]",12,1984
168,file_brain_AXFLAIR_202_6000517.h5,"[12, 20, 512, 234]",12,1996
169,file_brain_AXFLAIR_202_6000522.h5,"[12, 16, 640, 264]",12,2008
170,file_brain_AXFLAIR_202_6000524.h5,"[12, 20, 640, 264]",12,2020
171,file_brain_AXFLAIR_202_6000526.h5,"[12, 20, 640, 264]",12,2032
172,file_brain_AXFLAIR_202_6000528.h5,"[12, 16, 512, 214]",12,2044
173,file_brain_AXFLAIR_202_6000529.h5,"[12, 20, 640, 264]",12,2056
174,file_brain_AXFLAIR_202_6000530.h5,"[12, 16, 640, 264]",12,2068
175,file_brain_AXFLAIR_202_6000531.h5,"[12, 16, 640, 264]",12,2080
176,file_brain_AXFLAIR_202_6000536.h5,"[12, 12, 640, 264]",12,2092
177,file_brain_AXFLAIR_202_6000539.h5,"[12, 16, 640, 264]",12,2104
178,file_brain_AXFLAIR_202_6000540.h5,"[12, 12, 512, 320]",12,2116
179,file_brain_AXFLAIR_202_6000542.h5,"[12, 16, 512, 214]",12,2128
180,file_brain_AXFLAIR_202_6000543.h5,"[12, 20, 640, 264]",12,2140
181,file_brain_AXFLAIR_202_6000548.h5,"[12, 12, 640, 264]",12,2152
182,file_brain_AXFLAIR_202_6000550.h5,"[12, 20, 512, 320]",12,2164
183,file_brain_AXFLAIR_202_6000551.h5,"[12, 18, 640, 264]",12,2176
184,file_brain_AXFLAIR_202_6000553.h5,"[12, 16, 640, 264]",12,2188
185,file_brain_AXFLAIR_202_6000554.h5,"[12, 20, 640, 264]",12,2200
186,file_brain_AXFLAIR_202_6000555.h5,"[12, 18, 640, 264]",12,2212
187,file_brain_AXFLAIR_202_6000556.h5,"[12, 16, 640, 264]",12,2224
188,file_brain_AXFLAIR_202_6000557.h5,"[12, 16, 640, 264]",12,2236
189,file_brain_AXFLAIR_202_6000558.h5,"[12, 16, 640, 264]",12,2248
190,file_brain_AXFLAIR_202_6000561.h5,"[12, 20, 640, 264]",12,2260
191,file_brain_AXFLAIR_202_6000562.h5,"[12, 16, 640, 264]",12,2272
192,file_brain_AXFLAIR_202_6000563.h5,"[12, 20, 640, 264]",12,2284
193,file_brain_AXFLAIR_202_6000566.h5,"[12, 20, 640, 264]",12,2296
194,file_brain_AXFLAIR_202_6000567.h5,"[12, 12, 640, 264]",12,2308
195,file_brain_AXFLAIR_202_6000572.h5,"[12, 16, 640, 264]",12,2320
196,file_brain_AXFLAIR_202_6000575.h5,"[12, 20, 640, 264]",12,2332
197,file_brain_AXFLAIR_202_6000576.h5,"[12, 16, 640, 264]",12,2344
198,file_brain_AXFLAIR_202_6000579.h5,"[12, 16, 640, 264]",12,2356
199,file_brain_AXFLAIR_202_6000581.h5,"[12, 18, 512, 214]",12,2368
200,file_brain_AXFLAIR_202_6000584.h5,"[12, 16, 640, 264]",12,2380
201,file_brain_AXFLAIR_202_6000585.h5,"[12, 20, 640, 264]",12,2392
202,file_brain_AXFLAIR_202_6000589.h5,"[12, 12, 640, 264]",12,2404
203,file_brain_AXFLAIR_202_6000590.h5,"[12, 20, 640, 264]",12,2416
204,file_brain_AXFLAIR_203_6000875.h5,"[12, 4, 512, 213]",12,2428
205,file_brain_AXFLAIR_203_6000878.h5,"[12, 4, 512, 213]",12,2440
206,file_brain_AXFLAIR_203_6000884.h5,"[12, 4, 512, 213]",12,2452
207,file_brain_AXFLAIR_203_6000887.h5,"[12, 4, 512, 213]",12,2464
208,file_brain_AXFLAIR_203_6000890.h5,"[12, 4, 512, 213]",12,2476
209,file_brain_AXFLAIR_203_6000893.h5,"[10, 4, 512, 213]",10,2486
210,file_brain_AXFLAIR_203_6000897.h5,"[12, 4, 512, 213]",12,2498
211,file_brain_AXFLAIR_203_6000898.h5,"[12, 4, 512, 213]",12,2510
212,file_brain_AXFLAIR_203_6000899.h5,"[10, 4, 512, 213]",10,2520
213,file_brain_AXFLAIR_203_6000900.h5,"[12, 4, 512, 213]",12,2532
214,file_brain_AXFLAIR_203_6000901.h5,"[12, 4, 512, 213]",12,2544
215,file_brain_AXFLAIR_203_6000902.h5,"[12, 4, 512, 213]",12,2556
216,file_brain_AXFLAIR_203_6000904.h5,"[12, 4, 512, 213]",12,2568
217,file_brain_AXFLAIR_203_6000905.h5,"[12, 4, 512, 213]",12,2580
218,file_brain_AXFLAIR_203_6000907.h5,"[12, 4, 512, 276]",12,2592
219,file_brain_AXFLAIR_203_6000908.h5,"[12, 4, 512, 276]",12,2604
220,file_brain_AXFLAIR_203_6000910.h5,"[12, 4, 512, 276]",12,2616
221,file_brain_AXFLAIR_203_6000911.h5,"[12, 4, 512, 276]",12,2628
222,file_brain_AXFLAIR_203_6000912.h5,"[12, 5, 512, 276]",12,2640
223,file_brain_AXFLAIR_203_6000913.h5,"[12, 4, 512, 276]",12,2652
224,file_brain_AXFLAIR_203_6000914.h5,"[12, 4, 512, 276]",12,2664
225,file_brain_AXFLAIR_203_6000915.h5,"[12, 4, 512, 276]",12,2676
226,file_brain_AXFLAIR_203_6000916.h5,"[12, 4, 512, 276]",12,2688
227,file_brain_AXFLAIR_203_6000918.h5,"[12, 4, 512, 276]",12,2700
228,file_brain_AXFLAIR_203_6000920.h5,"[12, 4, 512, 276]",12,2712
229,file_brain_AXFLAIR_203_6000922.h5,"[12, 4, 512, 276]",12,2724
230,file_brain_AXFLAIR_203_6000926.h5,"[12, 4, 512, 276]",12,2736
231,file_brain_AXFLAIR_203_6000927.h5,"[12, 4, 512, 276]",12,2748
232,file_brain_AXFLAIR_203_6000928.h5,"[12, 4, 512, 276]",12,2760
233,file_brain_AXFLAIR_203_6000929.h5,"[12, 4, 512, 276]",12,2772
234,file_brain_AXFLAIR_203_6000930.h5,"[12, 4, 512, 276]",12,2784
235,file_brain_AXFLAIR_203_6000931.h5,"[12, 4, 512, 276]",12,2796
236,file_brain_AXFLAIR_203_6000933.h5,"[12, 4, 512, 276]",12,2808
237,file_brain_AXFLAIR_203_6000934.h5,"[12, 4, 512, 276]",12,2820
238,file_brain_AXFLAIR_203_6000935.h5,"[12, 4, 512, 276]",12,2832
239,file_brain_AXFLAIR_203_6000936.h5,"[12, 4, 512, 276]",12,2844
240,file_brain_AXFLAIR_203_6000937.h5,"[12, 4, 512, 276]",12,2856
241,file_brain_AXFLAIR_203_6000940.h5,"[12, 4, 512, 276]",12,2868
242,file_brain_AXFLAIR_203_6000941.h5,"[12, 4, 512, 276]",12,2880
243,file_brain_AXFLAIR_203_6000942.h5,"[12, 4, 512, 276]",12,2892
244,file_brain_AXFLAIR_203_6000944.h5,"[12, 4, 512, 276]",12,2904
245,file_brain_AXFLAIR_203_6000945.h5,"[12, 4, 512, 276]",12,2916
246,file_brain_AXFLAIR_203_6000946.h5,"[10, 4, 512, 276]",10,2926
247,file_brain_AXFLAIR_203_6000947.h5,"[12, 4, 512, 276]",12,2938
248,file_brain_AXFLAIR_203_6000949.h5,"[10, 4, 512, 276]",10,2948
249,file_brain_AXFLAIR_203_6000950.h5,"[12, 4, 512, 276]",12,2960
250,file_brain_AXFLAIR_203_6000951.h5,"[12, 4, 512, 276]",12,2972
251,file_brain_AXFLAIR_203_6000953.h5,"[12, 4, 512, 234]",12,2984
252,file_brain_AXFLAIR_203_6000954.h5,"[12, 4, 512, 276]",12,2996
253,file_brain_AXFLAIR_203_6000955.h5,"[12, 4, 512, 276]",12,3008
254,file_brain_AXFLAIR_203_6000957.h5,"[12, 6, 512, 234]",12,3020
255,file_brain_AXFLAIR_203_6000958.h5,"[12, 4, 512, 276]",12,3032
256,file_brain_AXFLAIR_203_6000959.h5,"[10, 4, 512, 276]",10,3042
257,file_brain_AXFLAIR_203_6000960.h5,"[12, 4, 512, 276]",12,3054
258,file_brain_AXFLAIR_203_6000961.h5,"[10, 4, 512, 276]",10,3064
259,file_brain_AXFLAIR_203_6000963.h5,"[12, 4, 512, 276]",12,3076
260,file_brain_AXFLAIR_203_6000964.h5,"[12, 4, 512, 276]",12,3088
261,file_brain_AXFLAIR_205_6000159.h5,"[12, 16, 640, 320]",12,3100
262,file_brain_AXFLAIR_205_6000164.h5,"[10, 16, 640, 320]",10,3110
263,file_brain_AXFLAIR_205_6000165.h5,"[12, 20, 640, 320]",12,3122
264,file_brain_AXFLAIR_205_6000169.h5,"[12, 20, 640, 320]",12,3134
265,file_brain_AXFLAIR_205_6000173.h5,"[12, 16, 640, 320]",12,3146
266,file_brain_AXFLAIR_205_6000175.h5,"[12, 16, 640, 320]",12,3158
267,file_brain_AXFLAIR_205_6000181.h5,"[12, 16, 640, 320]",12,3170
268,file_brain_AXFLAIR_206_6000232.h5,"[12, 16, 512, 234]",12,3182
269,file_brain_AXFLAIR_206_6000241.h5,"[12, 16, 512, 234]",12,3194
270,file_brain_AXFLAIR_206_6000250.h5,"[12, 20, 512, 234]",12,3206
271,file_brain_AXFLAIR_206_6000254.h5,"[12, 16, 512, 234]",12,3218
272,file_brain_AXFLAIR_206_6000256.h5,"[12, 20, 512, 234]",12,3230
273,file_brain_AXFLAIR_206_6000260.h5,"[12, 16, 512, 234]",12,3242
274,file_brain_AXFLAIR_209_6001344.h5,"[12, 16, 640, 320]",12,3254
275,file_brain_AXFLAIR_209_6001346.h5,"[12, 16, 640, 320]",12,3266
276,file_brain_AXFLAIR_209_6001348.h5,"[12, 14, 640, 320]",12,3278
277,file_brain_AXFLAIR_209_6001355.h5,"[12, 8, 640, 320]",12,3290
278,file_brain_AXFLAIR_209_6001360.h5,"[12, 14, 640, 320]",12,3302
279,file_brain_AXFLAIR_209_6001362.h5,"[12, 12, 640, 320]",12,3314
280,file_brain_AXFLAIR_209_6001369.h5,"[12, 12, 640, 320]",12,3326
281,file_brain_AXFLAIR_209_6001374.h5,"[12, 12, 640, 320]",12,3338
282,file_brain_AXFLAIR_209_6001377.h5,"[12, 14, 640, 320]",12,3350
283,file_brain_AXFLAIR_209_6001381.h5,"[12, 14, 640, 320]",12,3362
284,file_brain_AXFLAIR_209_6001386.h5,"[12, 16, 640, 320]",12,3374
285,file_brain_AXFLAIR_209_6001391.h5,"[12, 12, 640, 320]",12,3386
286,file_brain_AXFLAIR_209_6001393.h5,"[12, 12, 640, 320]",12,3398
287,file_brain_AXFLAIR_209_6001395.h5,"[12, 14, 640, 320]",12,3410
288,file_brain_AXFLAIR_209_6001397.h5,"[12, 14, 640, 320]",12,3422
289,file_brain_AXFLAIR_209_6001402.h5,"[12, 12, 640, 320]",12,3434
290,file_brain_AXFLAIR_209_6001404.h5,"[12, 12, 640, 320]",12,3446
291,file_brain_AXFLAIR_209_6001406.h5,"[12, 14, 640, 320]",12,3458
292,file_brain_AXFLAIR_209_6001408.h5,"[12, 14, 640, 320]",12,3470
293,file_brain_AXFLAIR_209_6001411.h5,"[12, 14, 640, 320]",12,3482
294,file_brain_AXFLAIR_209_6001413.h5,"[12, 14, 640, 320]",12,3494
295,file_brain_AXFLAIR_209_6001421.h5,"[12, 14, 640, 320]",12,3506
296,file_brain_AXFLAIR_209_6001428.h5,"[12, 14, 640, 320]",12,3518
297,file_brain_AXFLAIR_210_6001479.h5,"[12, 20, 640, 320]",12,3530
298,file_brain_AXFLAIR_210_6001480.h5,"[12, 20, 640, 320]",12,3542
299,file_brain_AXFLAIR_210_6001482.h5,"[12, 20, 640, 320]",12,3554
300,file_brain_AXFLAIR_210_6001484.h5,"[12, 16, 640, 320]",12,3566
301,file_brain_AXFLAIR_210_6001485.h5,"[12, 16, 640, 320]",12,3578
302,file_brain_AXFLAIR_210_6001487.h5,"[12, 20, 640, 320]",12,3590
303,file_brain_AXFLAIR_210_6001489.h5,"[12, 16, 640, 320]",12,3602
304,file_brain_AXFLAIR_210_6001496.h5,"[12, 16, 640, 320]",12,3614
305,file_brain_AXFLAIR_210_6001499.h5,"[12, 16, 640, 320]",12,3626
306,file_brain_AXFLAIR_210_6001504.h5,"[12, 16, 640, 320]",12,3638
307,file_brain_AXFLAIR_210_6001510.h5,"[12, 20, 640, 320]",12,3650
308,file_brain_AXFLAIR_210_6001511.h5,"[12, 16, 640, 320]",12,3662
309,file_brain_AXFLAIR_210_6001513.h5,"[12, 16, 640, 320]",12,3674
310,file_brain_AXFLAIR_210_6001517.h5,"[12, 16, 640, 320]",12,3686
311,file_brain_AXFLAIR_210_6001519.h5,"[12, 16, 640, 320]",12,3698
312,file_brain_AXFLAIR_210_6001521.h5,"[12, 16, 640, 320]",12,3710
313,file_brain_AXFLAIR_210_6001531.h5,"[12, 20, 640, 320]",12,3722
314,file_brain_AXFLAIR_210_6001533.h5,"[12, 16, 640, 320]",12,3734
315,file_brain_AXFLAIR_210_6001541.h5,"[12, 20, 640, 320]",12,3746
316,file_brain_AXFLAIR_210_6001544.h5,"[12, 20, 640, 320]",12,3758
317,file_brain_AXFLAIR_210_6001545.h5,"[10, 20, 640, 320]",10,3768
318,file_brain_AXFLAIR_210_6001548.h5,"[12, 16, 640, 320]",12,3780
319,file_brain_AXFLAIR_210_6001552.h5,"[12, 16, 640, 320]",12,3792
320,file_brain_AXFLAIR_210_6001555.h5,"[12, 16, 640, 320]",12,3804
321,file_brain_AXFLAIR_210_6001557.h5,"[12, 16, 640, 320]",12,3816
322,file_brain_AXFLAIR_210_6001835.h5,"[12, 20, 640, 320]",12,3828
323,file_brain_AXFLAIR_210_6001867.h5,"[12, 16, 640, 320]",12,3840
324,file_brain_AXFLAIR_210_6001875.h5,"[12, 20, 640, 320]",12,3852
325,file_brain_AXFLAIR_210_6001885.h5,"[12, 20, 640, 320]",12,3864
